basin,nse,kge,topo_lv,routing_lv
6050624870,0.21987895681358938,0.5800702096119311,13,1
6050790150,0.11842077719424038,-0.035772169280802846,13,1
6050790160,-3.835780807761898,-0.2395430723019445,13,3
6050774200,0.35152439389664203,0.5910834683337747,13,1
7050508340,0.3380708454534117,0.23545088779159384,13,1
7050332670,-0.37586888270070773,-0.1137627382649149,13,1
7050332680,0.6704878118962639,0.6709437252085995,13,1
7050415980,0.7103493084874906,0.67115701200683,13,1
8050272130,0.6980067608176628,0.7794223190759503,13,1
1051487890,-2781.3595153619135,-19.81550846803028,14,4
1051423960,-0.15832924810367888,0.3953066962450785,14,1
1051423970,0.24722776511388667,0.328029191541618,14,4
1050635020,-0.14229868500981624,0.12064479041940945,14,8
1050635010,NaN,NaN,14,1
3050511890,NaN,NaN,14,3
3050628740,NaN,NaN,14,4
3050511770,NaN,NaN,14,4
6050294270,-7.321572923828494,-0.9247246826542377,14,4
6050425550,0.7284292003344781,0.6303624984528307,14,1
6050425540,0.06878233585821514,0.22235261047478516,14,3
6050710030,-2.10470818983763,-0.04441143823056226,14,2
6050762870,0.5847631176874484,0.7091078521562685,14,1
8050271080,NaN,NaN,14,1
8050298770,0.4304632755322826,0.29574985091218553,14,2
1050577750,NaN,NaN,15,7
3050577190,NaN,NaN,15,3
3050455600,NaN,NaN,15,11
3050406840,-0.018848884669883992,0.023904960806967468,15,7
6050287830,0.5508158797755964,0.46941534272188057,15,1
6050491730,0.3394148687035995,0.3825473163634897,15,2
6050667100,0.7848835487910717,0.8946530250978977,15,1
8050297770,0.6604068068587724,0.500366336915181,15,1
8050297840,0.7908070277044678,0.6547444065145014,15,1
1051315930,0.04605268885438463,0.4406620416972451,16,2
1050603890,0.12342502296656443,0.3441254729180284,16,6
3050483880,NaN,NaN,16,10
6050266740,-4.544354153677675,-0.2208967372108852,16,2
6050266880,0.7899861344395698,0.7928865768276482,16,1
6050224360,-0.34697493826009995,-0.03712907766839657,16,2
6050532210,0.8445291756150263,0.8629906293044544,16,1
8050264770,-1.0299298055153492,0.45046305636791717,16,6
1050641670,NaN,NaN,17,5
3050483500,NaN,NaN,17,9
3050483590,NaN,NaN,17,1
3050532890,NaN,NaN,17,4
4050095270,-0.807280847552494,-0.43195728565642066,17,5
6050207670,-0.907724438473807,-0.05844752777901241,17,1
6050755240,0.576309192284836,0.7356364401182145,17,1
8050307380,-0.1741367216661358,0.32807765884382856,17,5
1050682900,NaN,NaN,18,4
1050651900,NaN,NaN,18,4
3050545290,NaN,NaN,18,8
3050477800,NaN,NaN,18,4
6050728580,NaN,NaN,18,8
8050315230,NaN,NaN,18,1
8050315160,NaN,NaN,18,4
1050689850,0.6489533767190809,0.5911366395951613,19,3
1050696830,0.47605301379796783,0.3119048516458879,19,3
3050639250,-0.7723854684407887,-0.6141985527151719,19,7
3050607060,0.6392521304945531,0.6362417294527287,19,2
3050479690,NaN,NaN,19,3
8050311100,NaN,NaN,19,3
8050331970,-0.569675719278562,0.3339803794971907,19,3
8050331980,0.7791314734556687,0.8853959409941353,19,1
1050737100,0.5394849986176252,0.4372385127233983,20,2
1050737110,NaN,NaN,20,1
8050327990,0.4868464552688403,0.5441649561689117,20,2
8050328000,0.5993157162354956,0.6977997308752901,20,1
8050332620,-1.9180892464877837,0.05321501392362915,20,2
8050332600,0.6488637032422744,0.6728867499757549,20,1
1050715100,-4.24789252002551,-1.541016677004201,21,1
1050761260,NaN,NaN,21,1
8050333190,NaN,NaN,21,1
8050333260,NaN,NaN,21,1
